epoch,train_loss,val_tfloss,kendall_tau,adj_coherence,best_coherence,tf_ratio,epoch_time_sec,lr
1,4.048923264245631,3.5145900975023374,0.09445116531185122,0.363619589722648,-1.0,1.0,51.58265686035156,1.905942922117974e-05
2,3.3689760920298073,3.1124236416519007,0.08897534918153932,0.3691444678265768,0.363619589722648,1.0,51.61450505256653,3.9545556594040594e-05
3,3.0126804904167934,2.786300295563976,0.09317562879166391,0.3712697168091598,0.3691444678265768,1.0,51.13362956047058,7.144976592129382e-05
4,2.7101048880613514,2.5270823016085306,0.09595309114097338,0.31834803744272117,0.3712697168091598,1.0,51.497214555740356,0.00011164392515289158
5,2.509419949993591,2.401951804424929,0.10552542709876817,0.330598114444353,0.3712697168091598,1.0,51.35219955444336,0.00015618709231382974
6,2.1932183741686098,1.9336821905656705,0.06104799450287443,0.48553634502450144,0.3712697168091598,1.0,51.037477254867554,0.00020071191551716648
7,1.8172393597146712,1.6209421678533533,0.058595257120747375,0.521424939966141,0.48553634502450144,1.0,51.23423624038696,0.00024085284145749199
1,3.9645373927540986,3.426538182629033,0.10344997550018313,0.3678583570412977,-1.0,1.0,51.08011603355408,1.905942922117974e-05
2,3.2885969201618193,3.0411563346698083,0.09510280383005826,0.3703447755718111,0.3678583570412977,1.0,51.09278678894043,3.9545556594040594e-05
3,2.9652287063728555,2.745905173590963,0.09336727269897464,0.3636856440554675,0.3703447755718111,1.0,50.88919520378113,7.144976592129382e-05
4,2.6807336629389913,2.486789456271482,0.08661096715620811,0.3164237651996102,0.3703447755718111,1.0,51.00237154960632,0.00011164392515289158
5,2.4476528515228257,2.15177337673294,0.09308504644532005,0.45690974177695753,0.3703447755718111,1.0,51.03571009635925,0.00015618709231382974
6,2.0200528327127363,1.7488666092622533,0.05355677048126335,0.5231083708277652,0.45690974177695753,1.0,51.158053159713745,0.00020071191551716648
7,1.7397624316473241,1.5346513138550697,0.08309386345363652,0.554127511448361,0.5231083708277652,1.0,51.77704691886902,0.00024085284145749199
8,1.5690905635717256,1.3902998091100636,0.06919823036902355,0.5403142339925101,0.554127511448361,1.0,51.447611808776855,0.000272674147557746
9,1.34511306288603,1.09672550414141,0.09452706973793946,0.6179178011805259,0.554127511448361,1.0,51.31115245819092,0.00029305583023264735
10,1.1117794250634796,0.9121660420038565,0.08449683710089996,0.6528568841577562,0.6179178011805259,1.0,51.11529493331909,0.00029999999375829106
11,0.9461656883971178,0.7789360275283199,0.09720747133226945,0.6732812506245126,0.6528568841577562,1.0,51.476043701171875,0.00029990710799365197
12,0.8444419349982273,0.7149238982548299,0.1006797330215892,0.6812361715528206,0.6732812506245126,1.0,51.357882022857666,0.0002996315842403499
13,0.775496785851287,0.6654095788439999,0.11328179281983702,0.6876658339589387,0.6812361715528206,1.0,51.32534384727478,0.0002991737581816373
14,0.7296722794929011,0.635444986315052,0.11815239113727673,0.6884344047606991,0.6876658339589387,1.0,51.2840301990509,0.0002985341876080437
15,0.6966020635656338,0.6315084076201194,0.10590107950927734,0.6927809504817746,0.6884344047606991,1.0,51.107664585113525,0.00029771365173779504
16,0.6713326983632738,0.5979502955469798,0.16019118183320774,0.6971626047625785,0.6927809504817746,1.0,51.042678356170654,0.0002967131502674552
17,0.6529168630121592,0.5892079976739345,0.14689207938784232,0.695825086575132,0.6971626047625785,1.0,51.243812799453735,0.00029553390215395034
18,0.6389779226898191,0.5797488071226843,0.14989261162891782,0.6979131325153498,0.6971626047625785,1.0,50.985071420669556,0.0002941773441294576
19,0.6214348958469629,0.5706355265355637,0.16781473530759708,0.6969007727924812,0.6979131325153498,1.0,51.186310052871704,0.000292645128950968
20,0.6087887758702255,0.5699486931880956,0.1469431826991921,0.6993684731688102,0.6979131325153498,1.0,51.6318576335907,0.0002909391233866569
21,0.5958167178831203,0.5434555160077036,0.17384081727730763,0.7044037799542562,0.6993684731688102,1.0,51.01557183265686,0.0002890614059415144
22,0.5867082021519596,0.5365846727888065,0.1769726945369767,0.7074047456117339,0.7044037799542562,1.0,50.95764899253845,0.00028701426432500724
23,0.5743443650526702,0.5341249839627352,0.18559972996568908,0.7066375683182231,0.7074047456117339,1.0,50.97341179847717,0.00028480019266385713
24,0.5647275673666048,0.5175524083257554,0.1884532092393839,0.7055541050818716,0.7074047456117339,1.0,51.11648988723755,0.00028242188846333154
25,0.5576661985151979,0.515347213728032,0.18924580925445808,0.7080521004566205,0.7074047456117339,1.0,50.907023191452026,0.0002798822493207492
26,0.5491219355022863,0.5048760076491673,0.21655325602619177,0.711465531212976,0.7080521004566205,1.0,50.906816244125366,0.0002771843693952038
27,0.5408788973663531,0.504258732704573,0.19154665973334475,0.7139801654307372,0.711465531212976,1.0,50.872530460357666,0.00027433153563780825
28,0.5337154398955956,0.4937193093215211,0.21156051333199588,0.714424911248376,0.7139801654307372,1.0,50.1315016746521,0.0002713272237870505
29,0.5268193999942602,0.5036736772578939,0.20373543452596574,0.7143044191353152,0.714424911248376,1.0,50.233176469802856,0.0002681750941341419
30,0.5222691256070543,0.5008424167510522,0.19371870212943956,0.7130536533609362,0.714424911248376,1.0,50.18492841720581,0.00026487898706351623
31,0.516623121185532,0.4840137551320402,0.2240616729287524,0.7228703285463476,0.714424911248376,1.0,50.454211711883545,0.00026144291837391264
32,0.5110790165090117,0.4829697133047551,0.22898872233982376,0.7202940625217734,0.7228703285463476,1.0,50.17504143714905,0.0002578710743857436
33,0.505426878132981,0.4754647940098593,0.22602061494124343,0.7203700982364831,0.7228703285463476,1.0,50.02000284194946,0.0002541678068407083
